Tweet_Text,User_Name,Screen_Name,Location,Country,Description,Followers_Count,Friends_Count,Verified_Account,Tweet_Created_At
"RT @Electroversenet: Article from Nov 28:

THE UN IS RUNNING OUT OF CASH

Could this be the REAL reason for the urgency over #ClimateChangeâ€¦",Incorrigible-crazy,incorrigiblecr2,The fatherland,,My happy hounds! PC is a policeman. Plants and trees will die without CO2 - I am saving the planet with my green Porsche! ðŸ‡©ðŸ‡ªðŸ‡©ðŸ‡ª etc. Just a simple engineer.,51,49,,12/1/19 20:22
RT @RobertKennedyJr: #Exxon says it believes â€œthe risk of #climatechange is real.â€ But why then is the oil giant still financing advocacy gâ€¦,Fatiha Bouchiba,fab1231,United Kingdom,United Kingdom,#NHS - #ThirdSector - #HumanRights - #SocialJustice.,2278,1929,,12/1/19 20:22
"RT @physicspolitics: What effects does climate change on rainfall? #ClimateChange

âŒThe rain that falls is warmerÂ 

âœ…In some places rainfalâ€¦",Mucky source....ðŸ‡ºðŸ‡¸,CManghnani,Deep rooted calling......,,"When they won't listen to reason, plead with them. Spanking paddles are another option, of course...â€¦.",982,920,,12/1/19 20:22
"The #reality of #climatechange | David Puttnam | TEDxDublin
https://t.co/dNtS4j5R2c https://t.co/5Q00OmrgpR",Mick Sylvestre,micksylvestre,"BC. Canada, Earth, Sol System",Canada,"A #graphic_designer, #illustrator, #painter, #fontographer & #writer.",171,335,,12/1/19 20:22
"RT @AHDB_BeefLamb: ""I want to make clear that what people saw in this documentary absolutely does not represent what British farmers and Brâ€¦",Lyburn Cheese,LyburnCheese,"Landford, Wiltshire",United Kingdom,"We make our award winning Cheese, by hand, with our own cows milk #oldwinchester #stoneycross follow our #instagram on @lyburncheese",2193,793,,12/1/19 20:22
"RT @moving4climate: ðŸŒŽ MOVING #4CLIMATENOW! 

ðŸš´â€â™€ 50 #ClimateFighters have ridden  &gt;500 km. on bike to bring a Manifesto at #COP25, claimingâ€¦",Anurag Saha Roy,anuragsaharoy,Singapore,Singapore,"Fed on a healthy dose of tech, travel, biryani, rom-coms and #quantumcomputing. Engineer @atomionics. Previously @quantumlah NUS | @KochiRefinery | @nitrourkela",864,1982,,12/1/19 20:21
RT @IPCC_CH: Guterres: scientific community says roadmap to stay below 1.5Â°C still within reach #ClimateChange https://t.co/JpSA7qAn4X,Prof Peter Strachan,ProfStrachan,,,"Researching Sustainability, Renewables & the Future of Energy I Opinions my own l RT's & likes not endorsements; just stuff I find of interest",11748,412,,12/1/19 20:21
RT @Barbara_E_Euler: @GeraldKutney Bah. So sorry for you. Keep up the good work. #sciencematters #climatechange,David Gallagher,DavidGa00551603,"Niagara Falls, Ontario",Canada,"Easygoing and relaxed I have my own house and I am single father two kids and a grandson. I live in Niagara Falls in Canada and I love music ,hockey,travelling!",504,755,,12/1/19 20:21
It Bears Repeating | #Renewables Alone Wonâ€™t End #ClimateCrisis | #ClimateChange #PhaseOutFossilFuels #EnergyDemandâ€¦ https://t.co/gUa0LtVo1f,Jane K Brundage,JaneKBrundage,"CoyoacÃ¡n, Mexico City",Mexico,,125,72,,12/1/19 20:21
RT @Haliemahhh: #COP25Madrid starts tomorrow in madrid #ClimateChange #environment,Chiroma Jnrâ„¢ðŸ‡³ðŸ‡¬ðŸ¤“,576sadiq,"Nigeria, Abuja",Nigeria,Sign of success of a slave is that he keeps his good deeds behind him whilst fixing his gaze on his sinsâ€ - Ibn Qayyim [Miftaah 843/2] #Muslim #Nigerian #Nupe,714,1480,,12/1/19 20:21
"RT @plutotrainings1: @vanessa_vash i am organising a singing and dance competition at school and college level, based on the theme #climateâ€¦",C.K.PHILIP JOSEPHS S,ushinedatme,,,"I simply keeping away from fake ppl
Cant I have my metime",196,998,,12/1/19 20:21
RT @INTEGRITYBC: Remote B.C. school gets most of its power from $450K solar energy system | CBC News https://t.co/UfZFVz8xD3 #bcpoli #vanpoâ€¦,Richard Lambert,lambert_pp,Canada,Canada,Veteran.signed the dotted line.CANADA WAKE UP.Fight for the right.or lose it.your choice .,2110,4976,,12/1/19 20:21
"RT @JimBair62221006: At Victoria Falls - the largest in Africa - bare cliffs raise spectre of no water as drought bites

Low flows affectinâ€¦",ðŸ’§ aconvict,aconvict,,,Prisoner of Hope,1636,3008,,12/1/19 20:21
"RT @JimBair62221006: At Victoria Falls - the largest in Africa - bare cliffs raise spectre of no water as drought bites

Low flows affectinâ€¦",ðŸ”¥The Harbinger ðŸ”¥ðŸŒŽ,Melhathnofury,Canada/USA,Canada,Decides to finally join the participants of the human race using social media to converge in a singular consciousness. I Am Legion...,511,619,,12/1/19 20:21
"RT @ArchKennedy: The different climates of the Earth have been changing since the world began. 

But, man has nothing to do with it. 

#Cliâ€¦",Melinda Wilson,melinwy,Blessed to live in the USA!!!,United States,All that is necessary for the triumph of evil is that good men do nothing.,3570,4986,,12/1/19 20:21
"RT @AJEnglish: Within 80 years, entire cities could be underwater.

Everyone may be talking about #ClimateChange - but do we really understâ€¦",TONYE YEMOLEIGHA,YemoleighaTonye,NIGERIA,Nigeria,"JOURNALIST ...

We can change the world from within, around us...keep telling the story. HAVE COURAGE",34,324,,12/1/19 20:21
RT @BiologistDan: Take 1:30 minutes out of your life and watch the Arctic Sea ice disappear over the last 35 years. This is #ClimateChange.â€¦,Christian Bishop,ChristianBishop,Wales,United Kingdom,"Welshman, Plant Based, Dog Lover, Runner, Man City Fan, Cardiff Blues Fan, Wine/Craft Beer Appreciator and canâ€™t live without Music!",114,1129,,12/1/19 20:21
"On #WorldAIDSDay, all US presidential candidates should commit to a bold global initiative to halt the pandemic kilâ€¦ https://t.co/7zOfB2SN26",Mark P. Lagon,marklagon,"Washington, DC",United States,Friends of Global Fight vs AIDS TB Malaria--Chief Policy Officer. Georgetown Distinguished Sr Scholar. Ex US human traf'g Amb. Human dignity & global insts book,1942,811,,12/1/19 20:21
"RT @AJEnglish: Within 80 years, entire cities could be underwater.

Everyone may be talking about #ClimateChange - but do we really understâ€¦",Kenneth A Schultz,KennethASchult1,"Washington, USA",United States,"Disabled Vet,Ex-Paratrooper,Father, Grandpa,Underinsured.",154,204,,12/1/19 20:21
"RT @ChantelleSeddon: The paralysis &amp; all consuming selfishness of Brexit has meant many issues in UK have not been tackled.

#Poverty
#Homeâ€¦",Phil,mrcessna,"Essex, UK",United Kingdom,"Business sales mentor, getaway driver, pilot, music lover with eclectic taste (old rocker at heart), DJ 3pm UK time shows Tue/Thur on Colne Radio. FRAS",586,992,,12/1/19 20:21
RT @iamgreenbean: Bushfires devastate rare and enchanting wildlife as 'permanently wet' forests burn for first time #ClimateChange #Climateâ€¦,Kaylyn Matt R's werewolf girlðŸ’›ðŸ’™â¤ðŸ’š,mattsgirl780,"Akron, OH",United States,I love my boyfriend Matt so much he is my country boy my life etc I am his werewolf girl his favorite country love song and I am his number 1 love you babeðŸ’™ðŸ’,1413,2910,,12/1/19 20:21
"RT @NamugerwaLeah: East Africa is my region.
Watch how floods are affecting us.
Floods  are adding on other extreme weather events that havâ€¦",Jorn Van de Velde,JornVelde,,,"Doctoral researcher @UGent_LHWM: climate change, floods and how to calculate it / youthwork exp as national head of JNM vzw/ also likes ecology, science...",88,181,,12/1/19 20:20
"RT @joshuaostroff: Dear climate denialists:

â€œThe consensus among research scientists on anthropogenic global warming has grown to 100%, baâ€¦",Liz Vittorini,rltor,"Ottawa, Ontario Canada",Canada,"Sales Rep with RE/MAX Affiliates Realty Ltd. 30 years plus experience. Love cooking, wine, hiking and traveling. Mental Health advocate",2488,3711,,12/1/19 20:20
RT @INTEGRITYBC: Remote B.C. school gets most of its power from $450K solar energy system | CBC News https://t.co/UfZFVz8xD3 #bcpoli #vanpoâ€¦,Ryanna Evans,RyannaEvans,"Lake Country, Canada",Canada,"Crazy for life & the legacy we leave our grandchildren. Fulltime RVer by necessity, writer always looking for ideas! RT's not endorsements.",911,2580,,12/1/19 20:20
"RT @SgkPlanet: FAQs about #SolarEnergy
Test your knowing and try to answer before clicking here https://t.co/tDi5SpDSWq SGK-PLANET #GlobalWâ€¦",Tramikatodor,scifryer2,"here, there, and everywhere",,well what can I say?,541,4,,12/1/19 20:20
"MIT study finds #Climate Change impacts everyday weather, smog, thunderstorms https://t.co/Zm43bluzFv #climatechange",Green technology,Greentechsystem,Global,,"Green Technology Systems  

| News | Reviews | Advice | Information | 
#Environment #Renewable #Energy #Solar #Sustainability #Eco #GreenBuild #Cleantech",4727,1366,,12/1/19 20:20
"RT @physicspolitics: What effects does climate change on rainfall? #ClimateChange

âŒThe rain that falls is warmerÂ 

âœ…In some places rainfalâ€¦",itisasunshineyday,asunshineyday,,,"Proud military spouse (retired), and Nana. Snarky comments daily. ðŸŒŠðŸŒŠðŸŒŠNo DMs!",332,825,,12/1/19 20:20
"RT @PaulEDawson: 58.4 % of all new cars sold in Norway in March were fully electric!

In June it was 57.8%

In October 58.3%

This is partâ€¦",ðŸ’§joice o'biro,obrijo,Canberra,Australia,"Following wiser heads, smarter news. Let's share them people.",1063,1112,,12/1/19 20:20
"RT @martinrev21: We have known this was going to happen for decades.

We were warned, but did nothing.

Now we watch on in horror, 

... anâ€¦",ðŸ‘£ ðŸŒ ðŸ’« Paul Dutton ðŸŒ³ ðŸ¦… ðŸ¾,pauldutton1968,,,#Wiimpitja - black fella #BarkindjiNation #KaliSkin - Dingo totem Mukwarra Moeity #StolenGenerations,12850,6563,,12/1/19 20:20
"RT @CarbonBubble: Mark Carney: #COP26 UN climate change conference ""provides a platform to bring risks from #ClimateChange &amp; the opportunitâ€¦",Adrienne Riddell,adrienneriddell,Sydney,Australia,"Parent, partner and former journalist. Views always my own.",217,693,,12/1/19 20:20
"RT @HenryK_B_: ""New test reveals electric cars are practically unusable in winter""
https://t.co/Yg3KYbXD8D
#GreenNewDeal #climate #ClimateCâ€¦",GreenNewDeal,GreenNewDeal_EU,Berlin,Germany,"The latest tweets on #GreenNewDeal, #FridaysForFuture, #Schoolstrike4climate,",3298,6,,12/1/19 20:20
"FAQs about #SolarEnergy
Test your knowing and try to answer before clicking here https://t.co/tDi5SpDSWq SGK-PLANETâ€¦ https://t.co/MKtIZpwP3G",SGK-PLANET-en,SgkPlanet,,,"Official Account of SGK-PLANET Super Website on Fight Against Climate Change We motto ""Sowing Climate Awareness"" and we intent do it We are in Climate Emergency",191,261,,12/1/19 20:20
RT @UNICEF: Thousands of children like this boy in Mozambique are put in danger and miss out on school every year due to #ClimateChange relâ€¦,V.B.,lilv86,"Clovis, New Mexico",United States,Staying positive and fighting the negative. Dad is in need of a heart transplant. Please donate to his gofundme Heart for Herbino.,559,1775,,12/1/19 20:19
"RT @PLOSBiology: In summer 2018, many arctic regions had unprecedented snowfalls. @NielsMSchmidt &amp;co report ecological impacts of this extrâ€¦",Alex,AlexKyte13,no-where,,Live simply so others can simply live.,174,90,,12/1/19 20:19
RT @voiceoreason702: More #ClimateChange BS as media narrative blown up again... reminds me of â¦@weatherchannelâ© from last year and â€œhigh wâ€¦,Golf Talk Lounge,golftalklounge,Las Vegas,United States,"24-year Vegas sports book expert. Low-capper. U.S. Open golf qualifier. Bet, fantasy picks. Play the game.",814,1945,,12/1/19 20:19
RT @Lexitmovement: #ClimateChange cult went marching in  Vancouver yesterday to protest rising sea levels. ðŸ¤£ðŸ˜‚ https://t.co/dI4gExmda1,Socialism Kills,LiberationU,,,Socialism is evil,1116,1144,,12/1/19 20:19
"RT @NamugerwaLeah: East Africa is my region.
Watch how floods are affecting us.
Floods  are adding on other extreme weather events that havâ€¦",Andrea,andrea_gorrin,Planet Earth,,"Actress. Singer. Feminist. Latina. Activism Works. So act, now! #FridaysForFuture",26,67,,12/1/19 20:19
RT @RobertKennedyJr: #Exxon says it believes â€œthe risk of #climatechange is real.â€ But why then is the oil giant still financing advocacy gâ€¦,ðŸŽ©Er BearðŸ»,E_Lee_T,Timbuktu!,,Fighting for Freedom & Political Revolution. Peace & Bernie-ness forever.,2928,4978,,12/1/19 20:19
"The main cause of #ClimateChange is our growth, we need nature repares our impact but now It canâ€™tâ€¦ https://t.co/uez9q3ZyAh",Robert Pujol i Vives,rpujolvives,Catalunya,Spain,"Qui no li cal aprendre mÃ©s no ha aprÃ¨s res - Who will not need to learn more, she/he has learned nothing: E. Canetti",1299,1602,,12/1/19 20:19
RT @wattystrick: .@RepJoeNeguse is traveling to Spain with @SpeakerPelosi  for a United Nations convention on #ClimateChange instead of worâ€¦,One US Citizen,One_US_Citizen,Mid West,United States,God Bless America. The #Truth is intolerant. Something is or it is not. Also on https://t.co/gm9QsuRWJ6 & Parler @OneUSCitizen,6179,6152,,12/1/19 20:18
"At Victoria Falls - the largest in Africa - bare cliffs raise spectre of no water as drought bites

Low flows affecâ€¦ https://t.co/8atwYJ3Av5",Jim Baird,JimBair62221006,"Vancouver, British Columbia",Canada,"Concerned citizen & researcher working towards meaningful #ClimateAction. 

#IStandWithGreta",4633,4572,,12/1/19 20:18
"#Climatechange: Greenland's ice faces melting 'death sentence' https://t.co/tFhjnbvAru
And mandkind will die join It https://t.co/QECniMtWP3",Robert Pujol i Vives,rpujolvives,Catalunya,Spain,"Qui no li cal aprendre mÃ©s no ha aprÃ¨s res - Who will not need to learn more, she/he has learned nothing: E. Canetti",1299,1602,,12/1/19 20:18
"RT @NamugerwaLeah: East Africa is my region.
Watch how floods are affecting us.
Floods  are adding on other extreme weather events that havâ€¦",Isabel â™“,xAth3nax,,,â€¢ currently working on my Master's degree â€¢ love & respect all Beings â€¢ space | futurist enthusiast â€¢ higher consciousness â€¢ dungeons & dragons â€¢ friend of ðŸ‘½,181,106,,12/1/19 20:18
"RT @PaulEDawson: â€œThis recent increase in methane is massive,â€

â€œItâ€™s globally significant. Itâ€™s contributed to some of the increase in gloâ€¦",ps,pgbm2,,,,71,459,,12/1/19 20:18
RT @RobertKennedyJr: #Exxon says it believes â€œthe risk of #climatechange is real.â€ But why then is the oil giant still financing advocacy gâ€¦,May the Farce Be With You,thegulley,,,"Oligarchs want Tulsi, Bernie & Mike Gravel to disappear. They hate Jimmy Dore, Max Blumenthal, Tim Black, Lee Camp at RT News",505,1950,,12/1/19 20:18
"RT @UNFCCC: Impressions of the #COP25 venue in Madrid, where governments will take the next crucial steps in the @UN #ClimateChange processâ€¦",Erwin Medina,versuserwin,"Pachuca, HGO, MX",Mexico,"#Urbanisme #Energy | Alumni @uaeh_oficial @elcolegiohgo | Like @RedAgenda2030mx @MYWorldMexico @RedSol14 @Ddeliberada | Views are my own, RT not endorsements",1434,3852,,12/1/19 20:18
RT @NickKukoz: Watch till the end. I synced the AGU visualization model of the age of Arctic sea ice with data of Global temperature from tâ€¦,Mohammad Aadil,Aadi_n,,,,2454,2274,,12/1/19 20:18
RT @CBIL6th: So proud our #IL06 Rep will represent Congress at the UN #ClimateChange conference! Half of all greenhouse emissions have beenâ€¦,Dino Bambino,AnteeBest,US,United States,"Aunt, Nikon Shooter, baker, gardener, jam maker, feminist, activist, voter",245,98,,12/1/19 20:18
Egypt will soon be home to Africaâ€™s first vertical forest #ClimateChange #africa #egypt #innovation viaâ€¦ https://t.co/cgcXlDVqcC,SB,amruthasuri,"Hyderabad, India",India,#AI #ML #Robots #Crypto #BitCoin #5G #Security #IoT #Industry40 #4IR #Blockchain #AR #VR #MR #IntelligentEdge #IntelligentCloud #ImmersiveExperiences,4445,2680,,12/1/19 20:18
RT @AllanMargolin: As Christmas Gets Closer Santa's Tired Of Hearing People Claim The 'Jury's Still Out' On #ClimateChange' - Aren't You?â€¦,SteelDonkeyðŸ†˜ðŸŒŠ,Steel_Donkey,"Massachusetts, USA",United States,"Immigrant ðŸ‡§ðŸ‡§. Vietnam vet. Author. Educator. Blocked by @SteveKingIA! History, chess,ðŸ, baseball, b-ball. Loathe Trump! Follow back #Resist.",21195,21541,,12/1/19 20:17
"RT @WideAwakeAus: Thereâ€™s a very high correlation between a ðŸ’§ symbol next to someoneâ€™s name &amp; that someone being a far-left, extreme, bigotâ€¦",JB,JBOZALCIBIADES,Southern NSW Australia,Australia,"Old swimmer, HIST BA Maj:Hist-focus ISLAM exarmy, deplorable knuckledragger despise fakes&LWNJâ€™s Lefties are Neo-Luddites. They are the fascists of the present.",1017,1214,,12/1/19 20:17
RT @genebaur: Concrete way we can each act to mitigate #ClimateChange is to #eatplants instead of animal products. @chucktodd @Schwarzeneggâ€¦,Whole Food Plant Based Resources,WFPBResources,,,Your Certified WFPB Information Hub. Define what; explore evidence; learn how; find where; meet experts; and pinpoint resources right for you. #WFPB #eatplants,177,133,,12/1/19 20:17
"Can floating gardens help Bangladeshâ€™s farmers withstand climate threats?: @Jaybritz
@EshaSensei #COP25â€¦ https://t.co/uwq1gGtPdg",geopsychiatry,geopsychiatry,Europe/USA/Global,,"Geopsychiatry aim to study the influences of globalisation, foreign policy, conflict, disasters on mental health & mental illness. CAPE Vulnerability Index #CVI",619,567,,12/1/19 20:17
"RT @XRGuildford: We may have already past 'several climatic tipping points'

Simple terms: runaway #ClimateChange. Drought, floods, food shâ€¦",XR Surrey,XSurrey,,,Supporting XR rebels in Surrey,36,78,,12/1/19 20:17
"RT @TurnerFdnInc: Naturalist, Sir David Attenborough opened the World Economic Forum in Davos, Switzerland with an ""earth-shattering"" messaâ€¦",(((Doro BÃ¶hm))),doroboehm,Bielefeld,Germany,"Arzt, AD(H)S-Coach, Verhaltensmanagement-Coaching, SAFE-Training",830,2045,,12/1/19 20:17
"RT @enricomolinari: This #plastic which is made from #biodegradable organisms can help #saveouroceans ðŸŒŠ TY @tictoc via @enricomolinari 

#Sâ€¦",evan litsa,evanlitsa,,,#PhD #Researcher #Education #Fellowship #Scientific #Scientificpaper,2195,2410,,12/1/19 20:17
"RT @IFAD: Tomorrow, #Madrid will host the #COP25 where world leaders will meet for discuss about #climatechange and human health.

Are youâ€¦",Pierrette  J.Cazeau,CazeauHue,"Lake Worth, FL",United States,"Abstract Reviewer APHA-SA, GHS,HIV/AIDS, Manuscript Reviewer IJCRIMPH, Proposal Reviewer AGS, Train W/CDC,CMS SMDSGlobal Delegate/Observer @UNEP Trademarks",1596,2208,,12/1/19 20:17
"#Aviation #Travel #Environment #ClimateCrisis #ClimateChange --&gt; Choosing Not To Fly Home For The Holidays, For Theâ€¦ https://t.co/jP1un7Ukx5",Lulu Walcott ðŸ¦‚ Bernie Bro ðŸ˜Ž,LuluWalcott1,"Los Angeles, CA",United States,Green-eyed JamaicanðŸ‡¯ðŸ‡²IrishðŸ‡®ðŸ‡ª #Mulatto in L.A. Progressive. Independent. Actor. #Atheist #Feminist #BernieBro @SenSanders #Bernie2020 @GreenPartyUS Be Bold,1655,300,,12/1/19 20:17
"RT @adesuwagreen: Educate #YoungPeople on #ClimateChange to put them on a #SustainablePath early on.

#SDG13
#ClimateAction
#COP25 https://â€¦",McHorf |â€¢á»ŒÌmá»Ì€ Sarabiu á»Ìlá»Ì€ká»ðŸš—ðŸš—ðŸš—,BestMcHorf,,,"Go for the best, you deserve it |â€¢ Tech Expert || @ChelseaFC |â€¢Cup cake ðŸ° lover | Good English Learner",397,2291,,12/1/19 20:17
"""New test reveals electric cars are practically unusable in winter""
https://t.co/Yg3KYbXD8D
#GreenNewDeal #climateâ€¦ https://t.co/zEBxV51frE",Henry K. B.,HenryK_B_,USA,United States,,1420,2459,,12/1/19 20:17
"RT @sara_j_welch: Like @marwilliamson, @DanRather is calling for a #WWII level mass mobilization to fight #ClimateChange https://t.co/l3sUIâ€¦",Sandy Fisher,sandyjfisher,,,,647,394,,12/1/19 20:17
RT @AllanMargolin: As Christmas Gets Closer Santa's Tired Of Hearing People Claim The 'Jury's Still Out' On #ClimateChange' - Aren't You?â€¦,Citizen EARTH,tucsonrosie2001,USA,United States,MUSIC my https://t.co/KffvNOvQow MY MOTHER.PROUD LIBERAL ARTIST ðŸ‘¨â€ðŸŽ¤. VOTED4 HILLARY ðŸ’–&PREZ OBAMA.Fight2keepðŸ‡ºðŸ‡¸a DEMOCRACY ðŸŒ¹#TheResistance ðŸ––ðŸ˜Ž#SVRAV ðŸŒŽâ˜®,15833,16422,,12/1/19 20:17
RT @RobertKennedyJr: #Exxon says it believes â€œthe risk of #climatechange is real.â€ But why then is the oil giant still financing advocacy gâ€¦,Con Creedon,conisme,"Cork, by way of Dublin",Ireland,"BoL/LLB/LLMðŸ‡®ðŸ‡ª #SocDems #Corbyn #TonyBenn #Bernie #MUFCðŸ‘¹Inchigeelaâ™¥ï¸PoliticsðŸ¤BanterðŸ˜†SportðŸ¥ŠBody resides n Dublin but my soul lives n Cork ðŸ‡®ðŸ‡©
IG:conisme7ðŸ¤³",1214,1586,,12/1/19 20:17
"RT @PeggySattlerNDP: Rickford is simply saying what Doug Fordâ€™s actions - cancelling cap&amp;trade, spending $30m on carbon tax court battle thâ€¦",Michau van Speyk,MEEKSVS,"Toronto, Ontario",Canada,I have Autism and I am an outspoken autism and disability rights advocate I live in Toronto Ontario Canada,2725,5002,,12/1/19 20:17
RT @AllanMargolin: Australia Aflame: 'Too late to leave': #ClimateChange driven S. Coast bushfire burns out of control https://t.co/HquRjGxâ€¦,@scarlett_o'dare_a (the Scarlet avenger)ðŸ‡¨ðŸ‡¦ðŸ‡¨ðŸ‡¦,scarlettodarea1,PNW coast Canada  ,Canada,"#RESIST #LGBTQ Â« Iâ€™m gonna pack you into my verses & set fire to the charge, until you explode into the night, recognizing the fireworks you are Â» C Jones",4661,4787,,12/1/19 20:17
"RT @adesuwagreen: Educate #YoungPeople on #ClimateChange to put them on a #SustainablePath early on.

#SDG13
#ClimateAction
#COP25 https://â€¦",##COP25Madrid #COP25 Ellyanne Wanjiku Chlystun,EllyanneCGithae,"Gigiri, Nairobi, Kenya",Kenya,9 Year Old Youngest #CLIMATECHANGE AMB. CEO Children With Nature @CWN_ORG African Voice Achievers & Eco Warrior Awards Winner ellyannecg@gmail.com +254702119121,6826,3120,,12/1/19 20:17
#Exxon says it believes â€œthe risk of #climatechange is real.â€ But why then is the oil giant still financing advocacâ€¦ https://t.co/zyQpOllsSy,Robert F. Kennedy Jr,RobertKennedyJr,"New York, NY",United States,Resolute defender of the environment stems from a litany of successful legal actions. President of @Waterkeeper,68392,502,TRUE,12/1/19 20:17
"RT @joshuaostroff: Dear climate denialists:

â€œThe consensus among research scientists on anthropogenic global warming has grown to 100%, baâ€¦",Peggy Blair,peggy_blair,"Ottawa, Canada",Canada,"Ottawa realtor, former lawyer, mystery author (Penguin Random House, Simon & Schuster), renovator, animal lover, Level 3 boxer, have a useless doctorate in law.",3331,1098,,12/1/19 20:16
"RT @BoneBacon: Climate change is a #myth, a #hoax, a #witchhunt. Maybe liberal's believed it once but when they disovered it was #fakenewsâ€¦",trvestuff,trvestuff,"Tacoma, WA",United States,i say stuff i think makes sense,142,20,,12/1/19 20:16
"RT @UNFCCC: .@antonioguterres on his expectations for the @UN #ClimateChange Conference #COP25 in Madrid: ""I expect from the COP a clear deâ€¦",##COP25Madrid #COP25 Ellyanne Wanjiku Chlystun,EllyanneCGithae,"Gigiri, Nairobi, Kenya",Kenya,9 Year Old Youngest #CLIMATECHANGE AMB. CEO Children With Nature @CWN_ORG African Voice Achievers & Eco Warrior Awards Winner ellyannecg@gmail.com +254702119121,6826,3120,,12/1/19 20:16
RT @iaeaorg: IAEAâ€™s #Atoms4Climate conference ended in October with a call for major nuclear role in combatting #ClimateChange. Ahead of #Câ€¦,"Juan LÃ³pez, Ph.D.",JotaEle1978,EspaÃ±a,Spain,"Physicist, Medical Physicist, Tech- and Sci-fan.",246,487,,12/1/19 20:16
RT @nohouzecalls: #VictoriaFalls in #Zimbabwe is no more~the once majestic #Waterfall has turned into a dry creek and will possibly disappeâ€¦,ðŸ°,_L0STBUNNY,canada babyðŸ‡¨ðŸ‡¦,Canada,ð¬ð¡ðž/ð¡ðžð« | a wannabe artist that sometimes does youtube videos.â¤ï¸ðŸ’œðŸ’™ @L0ST_GANG @NG_P0DCAST â€”instagram: @/itsharleen,76,386,,12/1/19 20:16
@simonahac @PatConroy1 Yes @simonahac it should be brought to everyoneâ€™s attention that inability of @greens to comâ€¦ https://t.co/9UGlEvkqk6,ken cha_OzVeteransVote,coolrunning2009,Australia,Australia,"#PTSD #MIL & #UN #OzVeteran, fiecely Aussie. My politics are centre & #ozveteransvote. #Resistance against tyranny & #Democracy.  Be polite or be blocked",1654,1655,,12/1/19 20:16
"RT @NCSE: ""Antarctic Ice Cores Offer a Whiff of Earth's Ancient Atmosphere"" https://t.co/16PwL64z8U #climatechange",Cheryl Hollinger,cherylhollinger,Oregon,United States,"Bionerd, tree hugger, educator, adventurer, and lifelong learner",438,154,,12/1/19 20:16
"RT @JessicaMDeWitt: Sunday #WordCloud! 

Tuberculosis, MTBAP, Mycobacterium 

https://t.co/jMtRuk9YUt 

#envhist #envhum #history #twittersâ€¦",Agronomy,agronomy_,,,,1342,134,,12/1/19 20:16
RT @UNFCCC: Join live as @UN Secretary-General @antonioguterres speaks to the press about his expectations for the #ClimateChange conferencâ€¦,##COP25Madrid #COP25 Ellyanne Wanjiku Chlystun,EllyanneCGithae,"Gigiri, Nairobi, Kenya",Kenya,9 Year Old Youngest #CLIMATECHANGE AMB. CEO Children With Nature @CWN_ORG African Voice Achievers & Eco Warrior Awards Winner ellyannecg@gmail.com +254702119121,6826,3120,,12/1/19 20:16
"RT @UNFCCC: The rainy weather hasn't stopped the #MovingForClimateNow team from arriving at #COP25 this Sunday, after biking from Salamancaâ€¦",##COP25Madrid #COP25 Ellyanne Wanjiku Chlystun,EllyanneCGithae,"Gigiri, Nairobi, Kenya",Kenya,9 Year Old Youngest #CLIMATECHANGE AMB. CEO Children With Nature @CWN_ORG African Voice Achievers & Eco Warrior Awards Winner ellyannecg@gmail.com +254702119121,6826,3120,,12/1/19 20:16
"RT @SaraCarterDC: While teen #environmentalist @GretaThunberg is sailing on a boat to #Spain from US

@SpeakerPelosi &amp; 14 other #Dems willâ€¦",God Bless DeplorablesðŸ‡ºðŸ‡¸,reda2448,,,"ðŸ—½#MAGA Trump IS My President #BackTheBlue ðŸ‘® #1a #2a #SethRich
#SupportOurTroops @csthetruth #QAnon",15323,16468,,12/1/19 20:16
"RT @TorstenFelsteha: #EndeGelaende we are unstoppable.
Systemchange Not climatechange https://t.co/PeU7uYgqKV",sakualla,lukSmall,,,Schnell zu begeisternder Hanswurst.,14,223,,12/1/19 20:16
"RT @WMO: ""The last 5 years have been the hottest ever recorded. Sea levels are the highest in human history. Ice caps are melting at unprecâ€¦",##COP25Madrid #COP25 Ellyanne Wanjiku Chlystun,EllyanneCGithae,"Gigiri, Nairobi, Kenya",Kenya,9 Year Old Youngest #CLIMATECHANGE AMB. CEO Children With Nature @CWN_ORG African Voice Achievers & Eco Warrior Awards Winner ellyannecg@gmail.com +254702119121,6826,3120,,12/1/19 20:16
"RT @UNFCCC: Impressions of the #COP25 venue in Madrid, where governments will take the next crucial steps in the @UN #ClimateChange processâ€¦",##COP25Madrid #COP25 Ellyanne Wanjiku Chlystun,EllyanneCGithae,"Gigiri, Nairobi, Kenya",Kenya,9 Year Old Youngest #CLIMATECHANGE AMB. CEO Children With Nature @CWN_ORG African Voice Achievers & Eco Warrior Awards Winner ellyannecg@gmail.com +254702119121,6826,3120,,12/1/19 20:16
RT @WCSNewsroom: These #Corals Could Survive #ClimateChange â€” and Help Save the Worldâ€™s #Reefs | By Amber Dance for @NatureNews https://t.câ€¦,Mary Ofure Marcus (Mary of Africa..Mama Education),mofurebolanle,Earth,,"Lets all join hands to save our planet |Catholic | lover of children| animals | nature | volunteer
CEO:Mofurecollections",655,1110,,12/1/19 20:15
